FID,ASS,Name,Kurzname,Haltestellenbereich,Koordinate,Betriebsbereich,Linien
haltestellen.fid-62cca9c6_1651d8457bd_67ad,2622,Eifelwall,EFW,26,POINT (6.9366805825 50.9247474492),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_67ae,2711,Rudolfplatz,RDP,27,POINT (6.9404793641 50.9358564043),STRAB,1 7
haltestellen.fid-62cca9c6_1651d8457bd_67af,2712,Rudolfplatz,RDP,27,POINT (6.9395917142 50.9362439318),STRAB,1 7
haltestellen.fid-62cca9c6_1651d8457bd_67b0,2713,Rudolfplatz,RDP,27,POINT (6.9390895103 50.9366504898),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67b1,2714,Rudolfplatz,RDP,27,POINT (6.9389856207 50.9360610912),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67b2,2721,Rudolfplatz,RDP,27,POINT (6.9397064678 50.9354768981),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67b3,2722,Rudolfplatz,RDP,27,POINT (6.9393177889 50.9362873932),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67b4,2811,Moltkestr.,MOL,28,POINT (6.9322876271 50.9355697577),STRAB,1 7
haltestellen.fid-62cca9c6_1651d8457bd_67b5,2812,Moltkestr.,MOL,28,POINT (6.9330677989 50.936512454),STRAB,1 7
haltestellen.fid-62cca9c6_1651d8457bd_67b6,2821,Moltkestr.,MOL,28,POINT (6.9326915882 50.9352388355),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67b7,2822,Moltkestr.,MOL,28,POINT (6.9325193837 50.9359860485),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67b8,2921,Roonstr.,ROO,29,POINT (6.9340831982 50.9332666688),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67b9,2922,Roonstr.,ROO,29,POINT (6.9338749952 50.9326496964),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_67ba,3011,Friesenplatz,FSP,30,POINT (6.9398331173 50.9405264475),STRAB,3 4 5
haltestellen.fid-62cca9c6_1651d8457bd_67bb,3012,Friesenplatz,FSP,30,POINT (6.9391187192 50.9406991097),STRAB,3 4 5
haltestellen.fid-62cca9c6_1651d8457bd_67bc,3013,Friesenplatz,FSP,30,POINT (6.9400803859 50.940828955),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67bd,3014,Friesenplatz,FSP,30,POINT (6.9398724387 50.9402487838),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67be,3111,Hans-Böckler-Platz/Bf West,HBP,31,POINT (6.9336574523 50.9432005148),STRAB,3 4 5
haltestellen.fid-62cca9c6_1651d8457bd_67bf,3112,Hans-Böckler-Platz/Bf West,HBP,31,POINT (6.9328921768 50.9435847619),STRAB,3 4 5
haltestellen.fid-62cca9c6_1651d8457bd_67c0,3211,Christophstr./Mediapark,CPH,32,POINT (6.9429220331 50.9450646778),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67c1,3212,Christophstr./Mediapark,CPH,32,POINT (6.9423110969 50.9446437049),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67c2,3411,Reichenspergerplatz,RPP,34,POINT (6.9653026372 50.9544052196),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67c3,3412,Reichenspergerplatz,RPP,34,POINT (6.9645368057 50.9541490394),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67c4,3421,Reichenspergerplatz,RPP,34,POINT (6.9646638743 50.9540499852),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_67c5,3422,Reichenspergerplatz,RPP,34,POINT (6.964210426 50.9541821117),BUS,127 140
haltestellen.fid-62cca9c6_1651d8457bd_67c6,3423,Reichenspergerplatz,RPP,34,POINT (6.9634059519 50.9543019081),BUS,127
haltestellen.fid-62cca9c6_1651d8457bd_67c7,3511,Ebertplatz,EBP,35,POINT (6.9595370283 50.9510131543),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67c8,3512,Ebertplatz,EBP,35,POINT (6.958784103 50.9504416606),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67c9,3513,Ebertplatz,EBP,35,POINT (6.9594277141 50.9510221261),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67ca,3514,Ebertplatz,EBP,35,POINT (6.9589515224 50.9504160774),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67cb,3521,Ebertplatz,EBP,35,POINT (6.9581308438 50.9508482666),BUS,127 140
haltestellen.fid-62cca9c6_1651d8457bd_67cc,3522,Ebertplatz,EBP,35,POINT (6.9577858722 50.9508414232),BUS,127 140
haltestellen.fid-62cca9c6_1651d8457bd_67cd,3611,Hansaring,HSR,36,POINT (6.9515505236 50.9487130848),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67ce,3612,Hansaring,HSR,36,POINT (6.9509157483 50.9485205409),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67cf,3621,Hansaring,HSR,36,POINT (6.9528130134 50.9498099842),BUS,127
haltestellen.fid-62cca9c6_1651d8457bd_67d0,3622,Hansaring,HSR,36,POINT (6.9534238954 50.9501418617),BUS,127
haltestellen.fid-62cca9c6_1651d8457bd_67d1,3721,Worringer Str.,WRR,37,POINT (6.9681693174 50.9553110776),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_67d2,3722,Worringer Str.,WRR,37,POINT (6.9679337845 50.9554680562),BUS,127 140
haltestellen.fid-62cca9c6_1651d8457bd_67d3,3821,Krefelder Wall,KFW,38,POINT (6.9504987617 50.9541346799),BUS,127
haltestellen.fid-62cca9c6_1651d8457bd_67d4,3822,Krefelder Wall,KFW,38,POINT (6.9504539007 50.9542610641),BUS,127
haltestellen.fid-62cca9c6_1651d8457bd_67d5,3911,Deutzer Freiheit,DZF,39,POINT (6.9714199447 50.9380485371),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67d6,3912,Deutzer Freiheit,DZF,39,POINT (6.9712969716 50.9374695408),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67d7,3913,Deutzer Freiheit,DZF,39,POINT (6.9708445797 50.9355284704),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67d8,3914,Deutzer Freiheit,DZF,39,POINT (6.9710765154 50.9360793222),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67d9,4011,Suevenstr.,SVS,40,POINT (6.9764936231 50.9328665266),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_67da,4012,Suevenstr.,SVS,40,POINT (6.9760646295 50.9325622955),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_67db,4111,Bf Deutz/Messe,BDM,41,POINT (6.9784139365 50.939631528),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67dc,4112,Bf Deutz/Messe,BDM,41,POINT (6.9774044775 50.9398664071),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67dd,4121,Bf Deutz/Messe,BDM,41,POINT (6.9779488263 50.9395510731),BUS,150
haltestellen.fid-62cca9c6_1651d8457bd_67de,4122,Bf Deutz/Messe,BDM,41,POINT (6.9762305115 50.9399721534),BUS,150
haltestellen.fid-62cca9c6_1651d8457bd_67df,4211,Koelnmesse,MSO,42,POINT (6.9822732717 50.9435849398),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_67e0,4212,Koelnmesse,MSO,42,POINT (6.9817534907 50.9432011861),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_67e1,4411,Deutz Technische Hochschule,DZB,44,POINT (6.9859264567 50.9365857842),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67e2,4412,Deutz Technische Hochschule,DZB,44,POINT (6.9848447898 50.9369096884),STRAB,1 9
haltestellen.fid-62cca9c6_1651d8457bd_67e3,4421,Deutz Technische Hochschule,DZB,44,POINT (6.9863829665 50.9362949776),BUS,153
haltestellen.fid-62cca9c6_1651d8457bd_67e4,4422,Deutz Technische Hochschule,DZB,44,POINT (6.9856830287 50.9366063168),BUS,153
haltestellen.fid-62cca9c6_1651d8457bd_67e5,4511,Severinsbrücke,SVB,45,POINT (6.9723621637 50.9305708594),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67e6,4512,Severinsbrücke,SVB,45,POINT (6.9719837853 50.9310801684),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67e7,4611,Drehbrücke,DRE,46,POINT (6.9746938581 50.9286423345),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67e8,4612,Drehbrücke,DRE,46,POINT (6.9753832555 50.9282121606),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67e9,4712,Poller Kirchweg,PKI,47,POINT (6.979670851 50.9239972353),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67ea,4713,Poller Kirchweg,PKI,47,POINT (6.9801659638 50.923604952),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_67eb,4821,Betzdorfer Str.,BTZ,48,POINT (6.9916487917 50.9357830208),BUS,153
haltestellen.fid-62cca9c6_1651d8457bd_67ec,4822,Betzdorfer Str.,BTZ,48,POINT (6.9915302618 50.9358780239),BUS,153
haltestellen.fid-62cca9c6_1651d8457bd_67ed,4911,Bf Deutz/LANXESS arena,BDK,49,POINT (6.97857845 50.9392156282),STRAB,3 4
